X,Y,Z,ScaledValHard
1.0,1.0,16.0,0.21473225951194763
1.0,6.0,16.0,0.39630335569381714
1.0,11.0,16.0,0.11606415361166
1.0,16.0,16.0,0.030714871361851692
1.0,21.0,16.0,0.1258494257926941
1.0,26.0,16.0,0.06142973527312279
1.0,31.0,16.0,0.15765154361724854
1.0,36.0,16.0,0.18238651752471924
1.0,41.0,16.0,0.17504756152629852
1.0,46.0,16.0,0.25414514541625977
1.0,51.0,16.0,0.12421855330467224
1.0,56.0,16.0,0.7749388217926025
1.0,61.0,16.0,0.7907040119171143
1.0,66.0,16.0,0.22968198359012604
1.0,71.0,16.0,0.8532209992408752
1.0,76.0,16.0,0.17803750932216644
1.0,81.0,16.0,0.8314759731292725
1.0,86.0,16.0,0.8042946457862854
1.0,91.0,16.0,0.13074205815792084
1.0,96.0,16.0,0.20385974645614624
1.0,101.0,16.0,0.2731720507144928
1.0,106.0,16.0,0.08861104398965836
1.0,111.0,16.0,0.1204131618142128
1.0,116.0,16.0,0.2484370768070221
1.0,121.0,16.0,0.1331883817911148
1.0,126.0,16.0,0.2022288739681244
6.0,1.0,16.0,0.3449307084083557
6.0,6.0,16.0,0.22886653244495392
6.0,11.0,16.0,0.32835012674331665
6.0,16.0,16.0,0.2182658314704895
6.0,21.0,16.0,0.1149769052863121
6.0,26.0,16.0,0.04702364653348923
6.0,31.0,16.0,0.11198695749044418
6.0,36.0,16.0,0.09431912004947662
6.0,41.0,16.0,0.14541995525360107
6.0,46.0,16.0,0.11878228932619095
6.0,51.0,16.0,0.07447677105665207
6.0,56.0,16.0,0.7608045339584351
6.0,61.0,16.0,0.8178852796554565
6.0,66.0,16.0,0.1258494257926941
6.0,71.0,16.0,0.8776841759681702
6.0,76.0,16.0,0.8287578225135803
6.0,81.0,16.0,0.8314759731292725
6.0,86.0,16.0,0.8097308874130249
6.0,91.0,16.0,0.16825225949287415
6.0,96.0,16.0,0.3280782997608185
6.0,101.0,16.0,0.22016853094100952
6.0,106.0,16.0,0.054362598806619644
6.0,111.0,16.0,0.06224517896771431
6.0,116.0,16.0,0.13373200595378876
6.0,121.0,16.0,0.07257407903671265
6.0,126.0,16.0,0.07012775540351868
11.0,1.0,16.0,0.7145963907241821
11.0,6.0,16.0,0.21119868755340576
11.0,11.0,16.0,0.21636314690113068
11.0,16.0,16.0,0.5680891275405884
11.0,21.0,16.0,0.17341668903827667
11.0,26.0,16.0,0.210655078291893
11.0,31.0,16.0,0.1204131618142128
11.0,36.0,16.0,0.07746671140193939
11.0,41.0,16.0,0.13808099925518036
11.0,46.0,16.0,0.22777928411960602
11.0,51.0,16.0,0.25224247574806213
11.0,56.0,16.0,0.7716770768165588
11.0,61.0,16.0,0.12449035793542862
11.0,66.0,16.0,0.23104102909564972
11.0,71.0,16.0,0.8151671886444092
11.0,76.0,16.0,0.8396303653717041
11.0,81.0,16.0,0.8396303653717041
11.0,86.0,16.0,0.8369122743606567
11.0,91.0,16.0,0.33405816555023193
11.0,96.0,16.0,0.13509106636047363
11.0,101.0,16.0,0.27154117822647095
11.0,106.0,16.0,0.05762435868382454
11.0,111.0,16.0,0.08589291572570801
11.0,116.0,16.0,0.08480565249919891
11.0,121.0,16.0,0.0698559433221817
11.0,126.0,16.0,0.16499049961566925
16.0,1.0,16.0,0.7526502013206482
16.0,6.0,16.0,0.4797499179840088
16.0,11.0,16.0,0.5928241610527039
16.0,16.0,16.0,0.7254689335823059
16.0,21.0,16.0,0.22207121551036835
16.0,26.0,16.0,0.30470237135887146
16.0,31.0,16.0,0.2837727665901184
16.0,36.0,16.0,0.14813809096813202
16.0,41.0,16.0,0.2302256077528
16.0,46.0,16.0,0.3259038031101227
16.0,51.0,16.0,0.7281870245933533
16.0,56.0,16.0,0.7580864429473877
16.0,61.0,16.0,0.06115792691707611
16.0,66.0,16.0,0.1312856823205948
16.0,71.0,16.0,0.10926883667707443
16.0,76.0,16.0,0.8042946457862854
16.0,81.0,16.0,0.8178852796554565
16.0,86.0,16.0,0.8505029082298279
16.0,91.0,16.0,0.1859200894832611
16.0,96.0,16.0,0.2364773005247116
16.0,101.0,16.0,0.12829574942588806
16.0,106.0,16.0,0.1342756301164627
16.0,111.0,16.0,0.09622180461883545
16.0,116.0,16.0,0.04675183817744255
16.0,121.0,16.0,0.16825225949287415
16.0,126.0,16.0,0.45555856823921204
21.0,1.0,16.0,0.10247350484132767
21.0,6.0,16.0,0.16172872483730316
21.0,11.0,16.0,0.7064419984817505
21.0,16.0,16.0,0.7689589858055115
21.0,21.0,16.0,0.8124490976333618
21.0,26.0,16.0,0.5017668008804321
21.0,31.0,16.0,0.481924444437027
21.0,36.0,16.0,0.21853764355182648
21.0,41.0,16.0,0.1462354063987732
21.0,46.0,16.0,0.03343300148844719
21.0,51.0,16.0,0.7934221625328064
21.0,56.0,16.0,0.78526771068573
21.0,61.0,16.0,0.10573525726795197
21.0,66.0,16.0,0.10899701714515686
21.0,71.0,16.0,0.036694757640361786
21.0,76.0,16.0,0.19543354213237762
21.0,81.0,16.0,0.8695298433303833
21.0,86.0,16.0,0.8151671886444092
21.0,91.0,16.0,0.37673279643058777
21.0,96.0,16.0,0.1538461595773697
21.0,101.0,16.0,0.43381351232528687
21.0,106.0,16.0,0.4870888888835907
21.0,111.0,16.0,0.0742049515247345
21.0,116.0,16.0,0.1957053542137146
21.0,121.0,16.0,0.39820602536201477
21.0,126.0,16.0,0.436531662940979
26.0,1.0,16.0,0.13291655480861664
26.0,6.0,16.0,0.051644474267959595
26.0,11.0,16.0,0.1611851155757904
26.0,16.0,16.0,0.05762435868382454
26.0,21.0,16.0,0.8178852796554565
26.0,26.0,16.0,0.933405876159668
26.0,31.0,16.0,0.2302256077528
26.0,36.0,16.0,0.315846711397171
26.0,41.0,16.0,0.14270183444023132
26.0,46.0,16.0,0.11986953765153885
26.0,51.0,16.0,0.7689589858055115
26.0,56.0,16.0,0.7825496196746826
26.0,61.0,16.0,0.2593095898628235
26.0,66.0,16.0,0.3098668158054352
26.0,71.0,16.0,0.12748029828071594
26.0,76.0,16.0,0.07828214019536972
26.0,81.0,16.0,0.7934221625328064
26.0,86.0,16.0,0.8124490976333618
26.0,91.0,16.0,0.8532209992408752
26.0,96.0,16.0,0.18564826250076294
26.0,101.0,16.0,0.17559120059013367
26.0,106.0,16.0,0.3131285607814789
26.0,111.0,16.0,0.3367763161659241
26.0,116.0,16.0,0.10165806114673615
26.0,121.0,16.0,0.5670019388198853
26.0,126.0,16.0,0.5593911409378052
31.0,1.0,16.0,0.08725197613239288
31.0,6.0,16.0,0.13780920207500458
31.0,11.0,16.0,0.06061430275440216
31.0,16.0,16.0,0.06523512303829193
31.0,21.0,16.0,0.08861104398965836
31.0,26.0,16.0,0.7743952870368958
31.0,31.0,16.0,0.7907040119171143
31.0,36.0,16.0,0.2593095898628235
31.0,41.0,16.0,0.22424571216106415
31.0,46.0,16.0,0.0967654287815094
31.0,51.0,16.0,0.739059567451477
31.0,56.0,16.0,0.7499321103096008
31.0,61.0,16.0,0.35226964950561523
31.0,66.0,16.0,0.14677903056144714
31.0,71.0,16.0,0.167708620429039
31.0,76.0,16.0,0.13835282623767853
31.0,81.0,16.0,0.7961402535438538
31.0,86.0,16.0,0.7417776584625244
31.0,91.0,16.0,0.8206034302711487
31.0,96.0,16.0,0.19189997017383575
31.0,101.0,16.0,0.5618374943733215
31.0,106.0,16.0,0.31122586131095886
31.0,111.0,16.0,0.027996739372611046
31.0,116.0,16.0,0.05191628262400627
31.0,121.0,16.0,0.12612123787403107
31.0,126.0,16.0,0.34465888142585754
36.0,1.0,16.0,0.2593095898628235
36.0,6.0,16.0,0.07665126770734787
36.0,11.0,16.0,0.015765152871608734
36.0,16.0,16.0,0.09105736017227173
36.0,21.0,16.0,0.1720576286315918
36.0,26.0,16.0,0.8206034302711487
36.0,31.0,16.0,0.26501765847206116
36.0,36.0,16.0,0.27697744965553284
36.0,41.0,16.0,0.20358791947364807
36.0,46.0,16.0,0.04376189410686493
36.0,51.0,16.0,0.7689589858055115
36.0,56.0,16.0,0.8287578225135803
36.0,61.0,16.0,0.7689589858055115
36.0,66.0,16.0,0.20032617449760437
36.0,71.0,16.0,0.17396031320095062
36.0,76.0,16.0,0.2473498284816742
36.0,81.0,16.0,0.20766513049602509
36.0,86.0,16.0,0.78526771068573
36.0,91.0,16.0,0.7961402535438538
36.0,96.0,16.0,0.7825496196746826
36.0,101.0,16.0,0.22777928411960602
36.0,106.0,16.0,0.18238651752471924
36.0,111.0,16.0,0.13998369872570038
36.0,116.0,16.0,0.12231585383415222
36.0,121.0,16.0,0.3400380611419678
36.0,126.0,16.0,0.22859473526477814
41.0,1.0,16.0,0.1611851155757904
41.0,6.0,16.0,0.03968469798564911
41.0,11.0,16.0,0.1236749142408371
41.0,16.0,16.0,0.05816798657178879
41.0,21.0,16.0,0.3117695152759552
41.0,26.0,16.0,0.8613753914833069
41.0,31.0,16.0,0.22832292318344116
41.0,36.0,16.0,0.15846697986125946
41.0,41.0,16.0,0.10655070096254349
41.0,46.0,16.0,0.15629248321056366
41.0,51.0,16.0,0.07148682326078415
41.0,56.0,16.0,0.8042946457862854
41.0,61.0,16.0,0.7662408351898193
41.0,66.0,16.0,0.37917912006378174
41.0,71.0,16.0,0.07502039521932602
41.0,76.0,16.0,0.18891003727912903
41.0,81.0,16.0,0.19108453392982483
41.0,86.0,16.0,0.7934221625328064
41.0,91.0,16.0,0.8314759731292725
41.0,96.0,16.0,0.801576554775238
41.0,101.0,16.0,0.4085349440574646
41.0,106.0,16.0,0.11769502609968185
41.0,111.0,16.0,0.0655069425702095
41.0,116.0,16.0,0.10192988067865372
41.0,121.0,16.0,0.10383257269859314
41.0,126.0,16.0,0.09703724831342697
46.0,1.0,16.0,0.23729273676872253
46.0,6.0,16.0,0.09703724831342697
46.0,11.0,16.0,0.13998369872570038
46.0,16.0,16.0,0.05354715511202812
46.0,21.0,16.0,0.12122860550880432
46.0,26.0,16.0,0.7689589858055115
46.0,31.0,16.0,0.3625985383987427
46.0,36.0,16.0,0.1549334079027176
46.0,41.0,16.0,0.19842348992824554
46.0,46.0,16.0,0.1312856823205948
46.0,51.0,16.0,0.14677903056144714
46.0,56.0,16.0,0.08426202833652496
46.0,61.0,16.0,0.7662408351898193
46.0,66.0,16.0,0.7064419984817505
46.0,71.0,16.0,0.37917912006378174
46.0,76.0,16.0,0.13998369872570038
46.0,81.0,16.0,0.19108453392982483
46.0,86.0,16.0,0.15819516777992249
46.0,91.0,16.0,0.739059567451477
46.0,96.0,16.0,0.8369122743606567
46.0,101.0,16.0,0.8151671886444092
46.0,106.0,16.0,0.7662408351898193
46.0,111.0,16.0,0.07039957493543625
46.0,116.0,16.0,0.14134275913238525
46.0,121.0,16.0,0.0665941908955574
46.0,126.0,16.0,0.052731722593307495
51.0,1.0,16.0,0.053275350481271744
51.0,6.0,16.0,0.10546344518661499
51.0,11.0,16.0,0.08344659954309464
51.0,16.0,16.0,0.12476217746734619
51.0,21.0,16.0,0.7417776584625244
51.0,26.0,16.0,0.7934221625328064
51.0,31.0,16.0,0.15221527218818665
51.0,36.0,16.0,0.08725197613239288
51.0,41.0,16.0,0.42973634600639343
51.0,46.0,16.0,0.2128295749425888
51.0,51.0,16.0,0.25414514541625977
51.0,56.0,16.0,0.0709431990981102
51.0,61.0,16.0,0.167708620429039
51.0,66.0,16.0,0.7499321103096008
51.0,71.0,16.0,0.5316662192344666
51.0,76.0,16.0,0.2397390604019165
51.0,81.0,16.0,0.22397390007972717
51.0,86.0,16.0,0.2642022371292114
51.0,91.0,16.0,0.7145963907241821
51.0,96.0,16.0,0.7526502013206482
51.0,101.0,16.0,0.7417776584625244
51.0,106.0,16.0,0.7526502013206482
51.0,111.0,16.0,0.7580864429473877
51.0,116.0,16.0,0.5381897687911987
51.0,121.0,16.0,0.1753193736076355
51.0,126.0,16.0,0.3751019239425659
56.0,1.0,16.0,0.30062517523765564
56.0,6.0,16.0,0.06958413124084473
56.0,11.0,16.0,0.11878228932619095
56.0,16.0,16.0,0.08806741237640381
56.0,21.0,16.0,0.7200326323509216
56.0,26.0,16.0,0.7662408351898193
56.0,31.0,16.0,0.07882577180862427
56.0,36.0,16.0,0.2098396271467209
56.0,41.0,16.0,0.23674912750720978
56.0,46.0,16.0,0.15194347500801086
56.0,51.0,16.0,0.19706442952156067
56.0,56.0,16.0,0.06333243101835251
56.0,61.0,16.0,0.1193259134888649
56.0,66.0,16.0,0.6670291423797607
56.0,71.0,16.0,0.6629519462585449
56.0,76.0,16.0,0.1644468605518341
56.0,81.0,16.0,0.10981246083974838
56.0,86.0,16.0,0.06007067859172821
56.0,91.0,16.0,0.7771133780479431
56.0,96.0,16.0,0.06686599552631378
56.0,101.0,16.0,0.20820875465869904
56.0,106.0,16.0,0.7716770768165588
56.0,111.0,16.0,0.7580864429473877
56.0,116.0,16.0,0.7662408351898193
56.0,121.0,16.0,0.826039731502533
56.0,126.0,16.0,0.8341941237449646
61.0,1.0,16.0,0.28676271438598633
61.0,6.0,16.0,0.12557761371135712
61.0,11.0,16.0,0.07909758388996124
61.0,16.0,16.0,0.08562109619379044
61.0,21.0,16.0,0.6629519462585449
61.0,26.0,16.0,0.7689589858055115
61.0,31.0,16.0,0.04702364653348923
61.0,36.0,16.0,0.1299266219139099
61.0,41.0,16.0,0.2011416107416153
61.0,46.0,16.0,0.4055449962615967
61.0,51.0,16.0,0.14052732288837433
61.0,56.0,16.0,0.12503398954868317
61.0,61.0,16.0,0.11144333332777023
61.0,66.0,16.0,0.7798314690589905
61.0,71.0,16.0,0.763522744178772
61.0,76.0,16.0,0.1655341237783432
61.0,81.0,16.0,0.05544985085725784
61.0,86.0,16.0,0.05191628262400627
61.0,91.0,16.0,0.7879859209060669
61.0,96.0,16.0,0.09975536912679672
61.0,101.0,16.0,0.10981246083974838
61.0,106.0,16.0,0.1462354063987732
61.0,111.0,16.0,0.10328894853591919
