X,Y,Z,ScaledValHard
1.0,1.0,4.0,0.063923180103302
1.0,6.0,4.0,0.21563786268234253
1.0,11.0,4.0,0.6883402466773987
1.0,16.0,4.0,0.13991770148277283
1.0,21.0,4.0,0.32208502292633057
1.0,26.0,4.0,0.19314129650592804
1.0,31.0,4.0,0.6096022129058838
1.0,36.0,4.0,0.2938271462917328
1.0,41.0,4.0,0.7267490029335022
1.0,46.0,4.0,0.23648834228515625
1.0,51.0,4.0,0.17146776616573334
1.0,56.0,4.0,0.7596707940101624
1.0,61.0,4.0,0.7980795502662659
1.0,66.0,4.0,0.341015100479126
1.0,71.0,4.0,0.5629630088806152
1.0,76.0,4.0,0.8282579183578491
1.0,81.0,4.0,0.14485597610473633
1.0,86.0,4.0,0.795336127281189
1.0,91.0,4.0,0.16488340497016907
1.0,96.0,4.0,0.1495199054479599
1.0,101.0,4.0,0.736076831817627
1.0,106.0,4.0,0.8255143761634827
1.0,111.0,4.0,0.4000000059604645
1.0,116.0,4.0,0.5733882188796997
1.0,121.0,4.0,0.4746227562427521
1.0,126.0,4.0,0.2093278467655182
6.0,1.0,4.0,0.03895747661590576
6.0,6.0,4.0,0.25212621688842773
6.0,11.0,4.0,0.7130315899848938
6.0,16.0,4.0,0.7349794507026672
6.0,21.0,4.0,0.754183828830719
6.0,26.0,4.0,0.7138546109199524
6.0,31.0,4.0,0.7240055203437805
6.0,36.0,4.0,0.7404664158821106
6.0,41.0,4.0,0.7733882069587708
6.0,46.0,4.0,0.754183828830719
6.0,51.0,4.0,0.7322359681129456
6.0,56.0,4.0,0.7212620377540588
6.0,61.0,4.0,0.14211249351501465
6.0,66.0,4.0,0.15473251044750214
6.0,71.0,4.0,0.7514403462409973
6.0,76.0,4.0,0.0452674925327301
6.0,81.0,4.0,0.05130315572023392
6.0,86.0,4.0,0.09876544028520584
6.0,91.0,4.0,0.8117969632148743
6.0,96.0,4.0,0.8255143761634827
6.0,101.0,4.0,0.8392318487167358
6.0,106.0,4.0,0.1426611840724945
6.0,111.0,4.0,0.40082305669784546
6.0,116.0,4.0,0.3755829930305481
6.0,121.0,4.0,0.8995884656906128
6.0,126.0,4.0,0.8392318487167358
11.0,1.0,4.0,0.05130315572023392
11.0,6.0,4.0,0.18792866170406342
11.0,11.0,4.0,0.24444444477558136
11.0,16.0,4.0,0.8063099980354309
11.0,21.0,4.0,0.7624143362045288
11.0,26.0,4.0,0.7404664158821106
11.0,31.0,4.0,0.7596707940101624
11.0,36.0,4.0,0.7733882069587708
11.0,41.0,4.0,0.795336127281189
11.0,46.0,4.0,0.803566575050354
11.0,51.0,4.0,0.4913580119609833
11.0,56.0,4.0,0.7898491621017456
11.0,61.0,4.0,0.831001341342926
11.0,66.0,4.0,0.795336127281189
11.0,71.0,4.0,0.08916325122117996
11.0,76.0,4.0,0.10946502536535263
11.0,81.0,4.0,0.21563786268234253
11.0,86.0,4.0,0.07736626267433167
11.0,91.0,4.0,0.15171468257904053
11.0,96.0,4.0,0.05733882263302803
11.0,101.0,4.0,0.8117969632148743
11.0,106.0,4.0,0.7788751721382141
11.0,111.0,4.0,0.7294924259185791
11.0,116.0,4.0,0.7706447243690491
11.0,121.0,4.0,0.8556927442550659
11.0,126.0,4.0,0.26995885372161865
16.0,1.0,4.0,0.06310013681650162
16.0,6.0,4.0,0.048559676855802536
16.0,11.0,4.0,0.14019204676151276
16.0,16.0,4.0,0.42524006962776184
16.0,21.0,4.0,0.7898491621017456
16.0,26.0,4.0,0.1552812159061432
16.0,31.0,4.0,0.07434842735528946
16.0,36.0,4.0,0.7733882069587708
16.0,41.0,4.0,0.8227709531784058
16.0,46.0,4.0,0.20109739899635315
16.0,51.0,4.0,0.4913580119609833
16.0,56.0,4.0,0.8008230924606323
16.0,61.0,4.0,0.5209876894950867
16.0,66.0,4.0,0.13717421889305115
16.0,71.0,4.0,0.11358024924993515
16.0,76.0,4.0,0.10480111092329025
16.0,81.0,4.0,0.18957476317882538
16.0,86.0,4.0,0.07434842735528946
16.0,91.0,4.0,0.0855967104434967
16.0,96.0,4.0,0.23429356515407562
16.0,101.0,4.0,0.3764060437679291
16.0,106.0,4.0,0.08834020048379898
16.0,111.0,4.0,0.20329217612743378
16.0,116.0,4.0,0.4993141293525696
16.0,121.0,4.0,0.24636489152908325
16.0,126.0,4.0,0.3028806746006012
21.0,1.0,4.0,0.7761317491531372
21.0,6.0,4.0,0.22743484377861023
21.0,11.0,4.0,0.12921811640262604
21.0,16.0,4.0,0.8255143761634827
21.0,21.0,4.0,0.07160494476556778
21.0,26.0,4.0,0.07599451392889023
21.0,31.0,4.0,0.10068587213754654
21.0,36.0,4.0,0.424691379070282
21.0,41.0,4.0,0.8063099980354309
21.0,46.0,4.0,0.3305898606777191
21.0,51.0,4.0,0.4913580119609833
21.0,56.0,4.0,0.08532236516475677
21.0,61.0,4.0,0.21975310146808624
21.0,66.0,4.0,0.2606309950351715
21.0,71.0,4.0,0.08724280446767807
21.0,76.0,4.0,0.7624143362045288
21.0,81.0,4.0,0.26968449354171753
21.0,86.0,4.0,0.3481481671333313
21.0,91.0,4.0,0.27599450945854187
21.0,96.0,4.0,0.3912208676338196
21.0,101.0,4.0,0.22304527461528778
21.0,106.0,4.0,0.23319615423679352
21.0,111.0,4.0,0.3657064437866211
21.0,116.0,4.0,0.57229083776474
21.0,121.0,4.0,0.13936899602413177
21.0,126.0,4.0,0.2850480377674103
26.0,1.0,4.0,0.3286694288253784
26.0,6.0,4.0,0.7898491621017456
26.0,11.0,4.0,0.7761317491531372
26.0,16.0,4.0,0.2606309950351715
26.0,21.0,4.0,0.10370370745658875
26.0,26.0,4.0,0.05432099103927612
26.0,31.0,4.0,0.03264746069908142
26.0,36.0,4.0,0.2938271462917328
