X,Y,Z,Index,Val,Accuracy
87,23,16,11202,0.077799998,0.2975284769657853
42,112,16,5441,0.024499998999999998,0.3030927414969581
70,3,16,8972,0.071699999,0.3645101444540598
86,1,16,11050,0.108800001,0.47589531836431465
86,108,16,11157,0.082000002,0.4978014626680277
91,75,16,11774,0.29199999600000004,0.25056615326757004
24,75,16,3064,0.048700001,0.37953283479943156
14,21,16,1710,0.102600001,0.4421838617098587
23,88,16,2947,0.301999986,0.472796315384836
57,8,16,7287,0.057799999000000005,0.2903258271848206
20,127,16,2596,0.124799997,0.26580144207168155
59,116,16,7655,0.30399999,0.3956329662643437
34,98,16,4387,0.077399999,0.3898810191720191
91,43,16,11742,0.125599995,0.4277177050843148
31,12,16,3911,0.042399999,0.45245557761050614
50,54,16,6423,0.028899999,0.33050126236753896
64,22,16,8211,0.273999989,0.2964994462398354
78,120,16,10129,0.097099997,0.3086456788191588
15,22,16,1841,0.06199999900000001,0.4633246956823901
91,32,16,11731,0.111000001,0.26219833718485697
75,2,16,9621,0.059700000999999996,0.27817198455284653
52,7,16,6636,0.026699999,0.36277158442652996
70,55,16,9024,0.0524,0.5013181254595958
36,59,16,4608,0.291000009,0.513365597831694
48,21,16,6130,0.044300001,0.3038518755523641
63,91,16,8150,0.300000012,0.5008173555490816
32,91,16,4120,0.300000012,0.3208700250242268
81,41,16,10440,0.30399999,0.35699749028056066
91,109,16,11808,0.30099999899999996,0.28029951875735504
59,37,16,7576,0.059099998,0.539093651375641
62,107,16,8036,0.0603,0.47459705256308815
7,108,16,887,0.0222,0.3606813328855968
69,49,16,8888,0.102700002,0.2568261396788606
94,87,16,12176,0.268000007,0.3146986442628644
43,74,16,5533,0.076800004,0.5180336660487638
73,121,16,9480,0.049600001,0.41462731968032895
21,124,16,2723,0.146400005,0.5041440163720876
9,105,16,1144,0.0403,0.5063790858795556
43,85,16,5544,0.11699999900000001,0.3240239268038865
96,29,16,12378,0.13369999800000001,0.40008447038136835
5,117,16,636,0.102600001,0.42903514721580716
44,109,16,5698,0.0482,0.309812015395468
30,130,16,3899,0.12129999699999999,0.3369155071244807
64,72,16,8261,0.301999986,0.4695069049992834
41,91,16,5290,0.31400001,0.4069494102709297
67,22,16,8601,0.24789999399999998,0.3084594374961744
52,75,16,6704,0.127900004,0.2650334818845048
88,119,16,11428,0.0603,0.43866369587284626
44,65,16,5654,0.296000004,0.295392617647846
49,90,16,6329,0.289999992,0.4458357792889107
92,109,16,11938,0.300000012,0.40186384972564737
17,68,16,2147,0.0748,0.5264063773790976
76,72,16,9821,0.0407,0.477282039117777
96,56,16,12405,0.0603,0.27220000863455207
23,101,16,2960,0.204500005,0.2763204206136701
54,103,16,6992,0.28499999600000003,0.4283962872703748
86,94,16,11143,0.046799999,0.5187478530783307
1,12,16,11,0.0265,0.4413879483572428
68,6,16,8715,0.034200002,0.36055488017519066
21,110,16,2709,0.053300001,0.3480154917287012
96,8,16,12357,0.048500000999999994,0.4343474060725969
12,123,16,1552,0.045000002000000004,0.26818983314277944
100,1,16,12870,0.0396,0.49257348716661375
72,123,16,9352,0.030400001,0.459223754729061
31,82,16,3981,0.294,0.3162951745525149
12,1,16,1430,0.258899987,0.36027310672240487
73,28,16,9387,0.294,0.2594881716578718
91,98,16,11797,0.067500003,0.5390533061469811
98,71,16,12680,0.055100000999999996,0.2994961887175726
61,65,16,7864,0.289999992,0.2730729215981821
4,120,16,509,0.039099998999999996,0.5492795616841056
31,26,16,3925,0.293000013,0.447793671240041
82,46,16,10575,0.300099999,0.5137326566738235
23,47,16,2906,0.028200001000000002,0.31893901047534534
56,56,16,7205,0.031399999,0.4420633547527399
67,80,16,8659,0.0187,0.5290547862596787
90,12,16,11581,0.054000001,0.5205276244555335
37,116,16,4795,0.0537,0.46578736462273657
1,115,16,114,0.10279999699999999,0.41632468777204323
90,58,16,11627,0.103500001,0.2679544793400131
9,118,16,1157,0.048099998,0.33666565713443725
22,91,16,2820,0.158399999,0.4345656166757454
81,59,16,10458,0.305999994,0.48892700997673527
74,83,16,9572,0.0524,0.2969445717600152
26,64,16,3313,0.103299998,0.37419282919428337
15,36,16,1855,0.089299999,0.41270726683191417
66,45,16,8494,0.11379999699999999,0.43327712228740484
98,24,16,12633,0.130899996,0.47023252684699224
3,53,16,312,0.070600003,0.3904858214602053
45,70,16,5789,0.135900006,0.3606600714913656
30,88,16,3857,0.301999986,0.43234053536737316
35,77,16,4496,0.074600004,0.5328229080626616
