X,Y,Z,Index,Val
100,85,16,12954,0.319900006
41,99,16,5298,0.301999986
42,6,16,5335,0.0425
46,95,16,5944,0.301999986
29,13,16,3652,0.041900001
97,114,16,12593,0.289999992
27,117,16,3496,0.086499996
64,35,16,8224,0.0261
31,22,16,3921,0.046999998
55,49,16,7068,0.0889
8,29,16,938,0.071400002
95,62,16,12281,0.065200001
51,105,16,6604,0.291000009
37,8,16,4687,0.039799998999999996
37,58,16,4737,0.307000011
14,61,16,1750,0.048799999000000004
62,41,16,7970,0.083800003
56,48,16,7197,0.045400000999999995
49,126,16,6365,0.07
13,113,16,1672,0.0272
8,129,16,1038,0.049199997999999995
57,29,16,7308,0.029100001
67,77,16,8656,0.057700000999999994
34,126,16,4415,0.19619999800000001
25,58,16,3177,0.0682
98,46,16,12655,0.080899999
61,120,16,7919,0.296999991
79,50,16,10189,0.31099999
1,116,16,115,0.0995
34,43,16,4332,0.0469
60,94,16,7763,0.300000012
47,110,16,6089,0.179100007
53,91,16,6850,0.28499999600000003
20,54,16,2523,0.296999991
76,84,16,9833,0.0539
12,9,16,1438,0.272000015
63,29,16,8088,0.045299999
20,12,16,2481,0.275999993
59,11,16,7550,0.050799999000000005
31,72,16,3971,0.041499997999999996
47,12,16,5991,0.0517
76,28,16,9777,0.021500001
18,66,16,2275,0.061000001
75,100,16,9719,0.088799998
82,30,16,10559,0.070699997
68,65,16,8774,0.307000011
88,69,16,11378,0.291000009
93,82,16,12041,0.29199999600000004
33,46,16,4205,0.0561
35,35,16,4454,0.114
3,47,16,306,0.10249999900000001
20,14,16,2483,0.28099998800000003
62,14,16,7943,0.034899998
52,69,16,6698,0.216999993
40,76,16,5145,0.086900003
74,32,16,9521,0.301999986
79,112,16,10251,0.08500000099999999
49,34,16,6273,0.039999999
33,130,16,4289,0.080799997
5,107,16,626,0.026699999
51,47,16,6546,0.088500001
5,106,16,625,0.028899999
43,73,16,5532,0.055300000999999994
81,87,16,10486,0.031099999
14,87,16,1776,0.333400011
38,25,16,4834,0.312999994
38,57,16,4866,0.296000004
14,66,16,1755,0.0427
74,61,16,9550,0.07050000099999999
66,93,16,8542,0.289999992
22,54,16,2783,0.307000011
11,57,16,1356,0.294
100,66,16,12935,0.0142
83,6,16,10665,0.06570000200000001
34,86,16,4375,0.296000004
73,67,16,9426,0.305999994
1,115,16,114,0.10279999699999999
79,101,16,10240,0.083999999
12,73,16,1502,0.310000002
6,50,16,699,0.031599998
83,75,16,10734,0.140400007
79,19,16,10158,0.11169999800000001
52,1,16,6630,0.049600001
71,31,16,9130,0.296000004
79,127,16,10266,0.10490000199999999
82,35,16,10564,0.0561
15,12,16,1831,0.26699999
42,65,16,5394,0.286000013
21,121,16,2720,0.154599994
9,34,16,1073,0.032600001
91,111,16,11810,0.293000013
53,55,16,6814,0.087399997
34,8,16,4297,0.0251
94,102,16,12191,0.056000002
14,60,16,1749,0.035999998
45,63,16,5782,0.287
8,21,16,930,0.07050000099999999
61,21,16,7820,0.252000004
6,11,16,660,0.12890000599999998
96,110,16,12459,0.307999998
34,118,16,4407,0.058800001
54,107,16,6996,0.27700001
51,16,16,6515,0.054000001
97,122,16,12601,0.053300001
19,38,16,2377,0.042800002000000004
93,111,16,12070,0.28499999600000003
50,121,16,6490,0.033399999
94,116,16,12205,0.044199999000000004
12,57,16,1486,0.303000003
66,50,16,8499,0.16910000100000003
32,77,16,4106,0.047800000999999995
39,105,16,5044,0.076399997
24,125,16,3114,0.178100005
54,114,16,7003,0.280000001
96,88,16,12437,0.291000009
32,1,16,4030,0.045699999000000005
13,7,16,1566,0.270999998
90,105,16,11674,0.296999991
27,87,16,3466,0.31400001
42,49,16,5378,0.0546
59,75,16,7614,0.09480000300000001
47,87,16,6066,0.161599994
47,67,16,6046,0.275999993
29,125,16,3764,0.146400005
72,46,16,9275,0.071199998
99,57,16,12796,0.018999999
68,80,16,8789,0.048700001
27,65,16,3444,0.11940000199999999
14,65,16,1754,0.054000001
74,18,16,9507,0.12489999800000001
72,73,16,9302,0.066299997
29,54,16,3693,0.26699999
79,54,16,10193,0.303000003
