X,Y,Z,Index,Val,Accuracy
30,29,16,3798,0.312999994,0.5068209766622948
83,1,16,10660,0.032299998999999996,0.473689331572624
5,74,16,593,0.312000006,0.641117513407289
65,130,16,8449,0.317000002,0.45752536889849627
18,43,16,2252,0.0583,0.5995319978842585
3,18,16,277,0.089299999,0.539862448128834
89,123,16,11562,0.09260000300000001,0.50470848377614
30,69,16,3838,0.072099999,0.4655897237986403
2,70,16,199,0.312999994,0.5565834054483922
6,43,16,692,0.048599999000000005,0.5951588309096454
95,77,16,12296,0.310000002,0.5821904315991442
78,49,16,10058,0.314999998,0.495436758244895
28,106,16,3615,0.051800001,0.4819798014434562
66,72,16,8521,0.300000012,0.4998946773058818
54,54,16,6943,0.06580000400000001,0.4659530244357601
45,86,16,5805,0.066299997,0.6428453145309044
39,84,16,5023,0.10189999599999999,0.6200811308159657
94,106,16,12195,0.286000013,0.5106912614732428
23,85,16,2944,0.335000008,0.6465394044692244
24,31,16,3020,0.1382,0.6257889679214917
41,6,16,5205,0.022700001,0.6172819842665771
3,108,16,367,0.045600000999999994,0.47874765871863356
61,33,16,7832,0.0243,0.4726763761022767
35,62,16,4481,0.294,0.4907344762354506
34,110,16,4399,0.066600002,0.5889619151934415
79,86,16,10225,0.033199999,0.6246074604599885
99,87,16,12826,0.305000007,0.5492638650043473
74,33,16,9522,0.296000004,0.6256459793116119
38,79,16,4888,0.09099999800000001,0.5238532966318774
18,81,16,2290,0.314999998,0.5704130649440707
21,96,16,2695,0.0647,0.47891371278593264
18,19,16,2228,0.30099999899999996,0.4866847609472718
12,73,16,1502,0.310000002,0.5565657805057295
51,69,16,6568,0.256999999,0.507517221449893
35,38,16,4457,0.200800002,0.4602699409023292
69,5,16,8844,0.069899999,0.6236158135341205
88,115,16,11424,0.06899999799999999,0.5145875991053577
79,5,16,10144,0.056600001,0.544442158819245
1,88,16,87,0.300000012,0.5886940002068375
90,100,16,11669,0.0385,0.5257829130996016
71,8,16,9107,0.040899999,0.5891231999103371
38,127,16,4936,0.069899999,0.5365945907282302
47,101,16,6080,0.286000013,0.5594418939971578
53,7,16,6766,0.016799999,0.6261900907679703
50,108,16,6477,0.289000005,0.5292021464545059
81,96,16,10495,0.305000007,0.645946822642335
50,128,16,6497,0.10719999699999999,0.5719881424474061
83,81,16,10740,0.067400001,0.5891095098857877
44,7,16,5596,0.063699998,0.4648593903351435
8,96,16,1005,0.124799997,0.5943941400418872
62,118,16,8047,0.305999994,0.5775026573827697
54,109,16,6998,0.264999986,0.5649194927506048
92,33,16,11862,0.045400000999999995,0.52003248036085
4,127,16,516,0.074100003,0.5609383857144685
25,28,16,3147,0.316000015,0.6344851120067064
34,75,16,4364,0.096799999,0.48478356823461455
14,19,16,1708,0.043200000999999995,0.6038410754416039
55,53,16,7072,0.051899999,0.6388959310651205
88,86,16,11395,0.27700001,0.5029170719667314
33,44,16,4203,0.037900001,0.6029312147405218
48,21,16,6130,0.044300001,0.5137610987882135
54,113,16,7002,0.282700002,0.45465287628007633
31,104,16,4003,0.145400003,0.5231425618943668
57,20,16,7299,0.272000015,0.4528574982800574
75,79,16,9698,0.068899997,0.4535720113248
77,33,16,9912,0.296999991,0.4659241105839487
50,125,16,6494,0.084799998,0.6331443278672912
86,7,16,11056,0.077200003,0.630974506470428
93,122,16,12081,0.063500002,0.6108430106460998
10,8,16,1177,0.0748,0.5049861950081096
14,84,16,1773,0.328999996,0.4644646300078978
42,36,16,5365,0.067199998,0.5595085019093308
83,68,16,10727,0.316000015,0.5320619570236783
7,72,16,851,0.326999992,0.45420300129471014
79,75,16,10214,0.058899999,0.6107405982641659
33,67,16,4226,0.06580000400000001,0.5791270920432614
56,70,16,7219,0.263999999,0.6198398226746595
46,37,16,5886,0.052200000999999996,0.45340485463461205
84,2,16,10791,0.095899999,0.5414704652864022
17,36,16,2115,0.0876,0.5910708857712594
38,109,16,4918,0.0491,0.48004377950542126
24,90,16,3079,0.307000011,0.4994468443418355
61,37,16,7836,0.112899996,0.45701122104757497
94,109,16,12198,0.294,0.6361937459184023
9,47,16,1086,0.080399998,0.4888290999596745
4,72,16,461,0.328000009,0.6091314108065922
47,116,16,6095,0.0691,0.637654172861954
31,100,16,3999,0.132400006,0.5510333708574741
78,78,16,10087,0.0612,0.6386102092061754
48,12,16,6121,0.042800002000000004,0.6128882937856412
21,17,16,2616,0.287,0.4848075814482287
49,21,16,6260,0.0405,0.6188747967446037
29,86,16,3725,0.301999986,0.6475668972118035
61,98,16,7897,0.0283,0.5370331266825924
22,103,16,2832,0.23389999600000003,0.6214091122923088
38,25,16,4834,0.312999994,0.5294701345173998
53,42,16,6801,0.146500006,0.6384511768430436
61,76,16,7875,0.06899999799999999,0.5123311709119092
76,50,16,9799,0.07389999900000001,0.6370590553446734
2,113,16,242,0.05519999900000001,0.6189543410756756
21,126,16,2725,0.168699995,0.5420892672461983
57,58,16,7337,0.031599998,0.6105039189192837
72,78,16,9307,0.10920000099999999,0.6439568406185014
97,78,16,12557,0.303000003,0.6120157978063727
88,89,16,11398,0.064000003,0.48927664137322746
23,19,16,2878,0.303000003,0.6216841976783825
31,54,16,3953,0.303000003,0.5065495990517024
18,79,16,2288,0.308999985,0.6134068454797705
6,84,16,733,0.312000006,0.5103624537835086
50,30,16,6399,0.0854,0.5410458745899849
90,58,16,11627,0.103500001,0.4517269875572121
89,75,16,11514,0.305999994,0.5198493842953527
5,65,16,584,0.070799999,0.6105644315955204
81,125,16,10524,0.21240000399999998,0.5708913415394793
13,93,16,1652,0.045000002000000004,0.5321389502295031
68,46,16,8755,0.098200001,0.6171590195587326
93,38,16,11997,0.0517,0.5497873663940614
