X,Y,Z,ScaledValSoft
1.0,3.0,16.0,0.208480566740036
1.0,7.0,16.0,0.5667300820350647
1.0,13.0,16.0,0.052188098430633545
1.0,28.0,16.0,0.03995651379227638
1.0,29.0,16.0,0.08562109619379044
1.0,38.0,16.0,0.1022016853094101
1.0,41.0,16.0,0.17504756152629852
1.0,50.0,16.0,0.09431912004947662
1.0,53.0,16.0,0.16580593585968018
1.0,56.0,16.0,0.7749388217926025
1.0,59.0,16.0,0.8124490976333618
1.0,68.0,16.0,0.8097308874130249
1.0,72.0,16.0,0.8341941237449646
1.0,80.0,16.0,0.8287578225135803
1.0,82.0,16.0,0.8206034302711487
1.0,88.0,16.0,0.7934221625328064
1.0,105.0,16.0,0.23375916481018066
1.0,108.0,16.0,0.14215821027755737
1.0,109.0,16.0,0.13182930648326874
1.0,113.0,16.0,0.1600978672504425
1.0,117.0,16.0,0.2313128560781479
1.0,119.0,16.0,0.13590650260448456
1.0,122.0,16.0,0.12530580163002014
1.0,124.0,16.0,0.11660777777433395
1.0,130.0,16.0,0.22098396718502045
2.0,3.0,16.0,0.13944007456302643
2.0,5.0,16.0,0.3150312602519989
2.0,9.0,16.0,0.33840715885162354
2.0,11.0,16.0,0.21853764355182648
2.0,14.0,16.0,0.033161189407110214
2.0,15.0,16.0,0.022016853094100952
2.0,16.0,16.0,0.07474857568740845
2.0,19.0,16.0,0.17776569724082947
2.0,25.0,16.0,0.029627615585923195
2.0,29.0,16.0,0.08507747203111649
2.0,34.0,16.0,0.07801033556461334
2.0,38.0,16.0,0.08480565249919891
2.0,44.0,16.0,0.30171242356300354
2.0,45.0,16.0,0.2829573154449463
2.0,46.0,16.0,0.22723567485809326
2.0,51.0,16.0,0.21853764355182648
2.0,56.0,16.0,0.78526771068573
2.0,58.0,16.0,0.7716770768165588
2.0,66.0,16.0,0.19815167784690857
2.0,70.0,16.0,0.8287578225135803
2.0,72.0,16.0,0.8668116331100464
2.0,73.0,16.0,0.826039731502533
2.0,86.0,16.0,0.8070127964019775
2.0,93.0,16.0,0.07610764354467392
2.0,101.0,16.0,0.37129658460617065
2.0,104.0,16.0,0.15928241610527039
2.0,107.0,16.0,0.06686599552631378
2.0,108.0,16.0,0.05925523489713669
2.0,113.0,16.0,0.1280239224433899
2.0,116.0,16.0,0.19760803878307343
2.0,121.0,16.0,0.10383257269859314
2.0,127.0,16.0,0.22207121551036835
2.0,130.0,16.0,0.3604240417480469
3.0,5.0,16.0,0.26501765847206116
3.0,17.0,16.0,0.19271542131900787
