X,Y,Z,Index,Val,Accuracy
1,10,16,9,0.087700002,0.4810218384093382
27,18,16,3397,0.023399998999999998,0.39216548358002806
31,20,16,3919,0.045299999,0.4187652759614454
61,36,16,7835,0.0559,0.47225657336667315
20,102,16,2571,0.19050000600000003,0.4721911113755194
88,123,16,11432,0.09189999800000001,0.4540995375530482
75,21,16,9640,0.077200003,0.42990856068650685
30,11,16,3780,0.025800001,0.315112178937857
25,69,16,3188,0.037500001,0.26333169845470805
55,47,16,7066,0.0449,0.4435074689868547
56,81,16,7230,0.048500000999999994,0.3673233863475436
56,96,16,7245,0.032699998,0.4691722727357514
7,68,16,847,0.1021,0.5347746092347957
99,85,16,12824,0.303000003,0.2580072004237644
51,102,16,6601,0.294999987,0.34365332810681404
63,80,16,8139,0.0272,0.2995052162721902
33,117,16,4276,0.0307,0.25898239418425145
45,53,16,5772,0.0682,0.3739593835969556
74,54,16,9543,0.050500002,0.37291835487175595
71,83,16,9182,0.068000004,0.5276873257618004
42,21,16,5350,0.09669999800000001,0.25711201894309654
55,6,16,7025,0.037599999,0.47695655243243334
49,4,16,6243,0.035,0.4578248755599783
4,30,16,419,0.0295,0.3691465007720622
90,116,16,11685,0.047499999,0.5231242355867733
69,44,16,8883,0.059300002000000004,0.3699316606149599
93,36,16,11995,0.069700003,0.2558712566769496
72,71,16,9300,0.305000007,0.4760434668621933
79,56,16,10195,0.31330001399999996,0.25217931573439195
55,55,16,7074,0.048,0.49263835620074165
100,86,16,12955,0.32400000100000004,0.31220158948153454
74,119,16,9608,0.042199999,0.5489255442039275
37,34,16,4713,0.07050000099999999,0.37570688477796
26,126,16,3375,0.2139,0.30381873958280003
12,15,16,1444,0.208900005,0.4177566045931088
30,73,16,3842,0.0559,0.3995574198767538
26,59,16,3308,0.08309999900000001,0.30951116636909254
22,120,16,2849,0.096000001,0.393827370982727
53,61,16,6820,0.0385,0.29540559982946923
77,10,16,9889,0.06610000099999999,0.5286802653039139
81,101,16,10500,0.294999987,0.4203108486657462
69,104,16,8943,0.064099997,0.33159226788139506
76,21,16,9770,0.083999999,0.5417186918472403
28,112,16,3621,0.048500000999999994,0.320576494017666
9,39,16,1078,0.023499999,0.2773352106425052
87,44,16,11223,0.127900004,0.4955523170186328
36,15,16,4564,0.037799999,0.2536006033958416
76,34,16,9783,0.305000007,0.47212367907511854
67,23,16,8602,0.273000002,0.3290156802910425
95,102,16,12321,0.038899999,0.4125737409003794
59,5,16,7544,0.0337,0.3501494474718203
73,22,16,9381,0.035799999,0.29573159085263234
85,53,16,10972,0.289000005,0.500718157354393
54,69,16,6958,0.261000007,0.3522193825077531
95,17,16,12236,0.1241,0.4123959307557502
95,94,16,12313,0.19329999399999998,0.42941297941173284
92,78,16,11907,0.303000003,0.4873610403757108
65,55,16,8374,0.105800003,0.2828358252130987
38,44,16,4853,0.084799998,0.2681324894613104
85,124,16,11043,0.120800003,0.45136044656723046
14,101,16,1790,0.0462,0.43458780438899064
81,109,16,10508,0.11129999900000001,0.3761155800024516
38,117,16,4926,0.0506,0.4916925692138676
73,8,16,9367,0.0473,0.28219664812328005
4,71,16,460,0.307999998,0.4699463921016206
85,18,16,10937,0.0392,0.34288251595127633
100,45,16,12914,0.028000001,0.36792526097127626
8,22,16,931,0.07299999900000001,0.3835359158366152
100,33,16,12902,0.0319,0.37143629262179906
33,125,16,4284,0.126000002,0.3063106890445233
54,71,16,6960,0.18819999699999998,0.30360498767807814
19,102,16,2441,0.17640000600000003,0.37163588082065524
18,41,16,2250,0.070799999,0.49935454677912905
78,89,16,10098,0.072099999,0.43211651494283526
55,46,16,7065,0.082800001,0.2698282506052025
23,113,16,2972,0.11940000199999999,0.4929449392858358
7,72,16,851,0.326999992,0.40767536769820867
58,56,16,7465,0.046100002,0.43708740421155534
26,50,16,3299,0.300000012,0.3660415590886595
75,36,16,9655,0.294,0.2874626436933943
31,27,16,3926,0.294,0.3065628364392001
62,127,16,8056,0.308999985,0.3062223862716446
51,81,16,6580,0.090499997,0.5002251857329973
62,95,16,8024,0.0425,0.4568031549266097
69,50,16,8889,0.161400005,0.5019314566538793
4,126,16,515,0.066299997,0.35149971778167477
17,5,16,2084,0.18160000399999998,0.3169543788519752
57,102,16,7381,0.111199997,0.4511341492293106
79,114,16,10253,0.077,0.3830328384360747
23,10,16,2869,0.0502,0.5200209307867112
22,118,16,2847,0.0414,0.28802751922594916
95,27,16,12246,0.109999999,0.40510908560992004
57,101,16,7380,0.12129999699999999,0.4254660100138006
28,41,16,3550,0.0392,0.41711124520080733
34,90,16,4379,0.291000009,0.2776907051617223
75,55,16,9674,0.038899999,0.30798276114175677
26,88,16,3337,0.289000005,0.30765238973260794
44,105,16,5694,0.15389999699999998,0.3114136258229695
71,107,16,9206,0.10530000199999999,0.4378066138089063
37,32,16,4711,0.069300003,0.268121085806886
80,96,16,10365,0.296999991,0.3017147227565789
2,68,16,197,0.307999998,0.4354154736849421
36,51,16,4600,0.291000009,0.3481202566232437
56,36,16,7185,0.085299999,0.5459837693500014
100,72,16,12941,0.0438,0.3046691775136894
38,56,16,4865,0.294999987,0.3233992972933921
47,31,16,6010,0.20499999800000002,0.32697520975312433
48,38,16,6147,0.043699998,0.32785104676425175
17,130,16,2209,0.196600005,0.5449697314277406
13,63,16,1622,0.046,0.4592466183654912
7,41,16,820,0.043200000999999995,0.49645473355323133
11,86,16,1385,0.316000015,0.4351499930396958
51,106,16,6605,0.28499999600000003,0.440785100593561
76,104,16,9853,0.07620000099999999,0.4774759812915171
46,64,16,5913,0.286000013,0.36685339755102797
3,87,16,346,0.301999986,0.33714276083827976
89,58,16,11497,0.098800004,0.33113393285289827
43,83,16,5542,0.087800004,0.520829476265714
54,9,16,6898,0.0305,0.44841429686937295
15,50,16,1869,0.058800001,0.32777136052900246
100,13,16,12882,0.0823,0.2860290687945962
42,103,16,5432,0.197099999,0.54963128916464
42,64,16,5393,0.287999988,0.468545774633485
97,129,16,12608,0.078900002,0.4688296501920607
96,114,16,12463,0.303000003,0.4308463062185359
57,50,16,7329,0.0766,0.2878860289946596
81,117,16,10516,0.088399999,0.42420592089662595
43,57,16,5516,0.307000011,0.4529117323829409
49,99,16,6338,0.293000013,0.5392236574616605
80,31,16,10300,0.0491,0.46375946897319364
80,114,16,10383,0.079400003,0.45191509920213674
56,13,16,7162,0.074199997,0.4340105573879449
99,22,16,12761,0.164000005,0.25092390899257794
29,66,16,3705,0.135100007,0.3245975684111342
21,44,16,2643,0.0469,0.44343898039733604
42,30,16,5359,0.150700003,0.34789517820498894
