X,Y,Z,Index,Val
79,17,16,10156,0.152099997
89,41,16,11480,0.0832
75,46,16,9665,0.040100001
79,94,16,10233,0.280000001
39,111,16,5050,0.021
28,15,16,3524,0.050999999000000004
96,35,16,12384,0.05550000099999999
97,129,16,12608,0.078900002
6,88,16,737,0.30399999
95,43,16,12262,0.0612
82,92,16,10621,0.136299998
7,92,16,871,0.10639999800000001
20,73,16,2542,0.046500001
25,82,16,3201,0.310000002
92,4,16,11833,0.025800001
31,22,16,3921,0.046999998
56,11,16,7160,0.051800001
42,107,16,5436,0.0308
19,126,16,2465,0.18330000300000002
73,14,16,9373,0.0429
42,106,16,5435,0.0363
13,20,16,1579,0.044599999
26,48,16,3297,0.294999987
76,26,16,9775,0.0208
16,83,16,2032,0.31400001
17,40,16,2119,0.06899999799999999
5,50,16,569,0.0363
74,63,16,9552,0.314999998
88,73,16,11382,0.300000012
69,44,16,8883,0.059300002000000004
10,111,16,1280,0.023800001
60,122,16,7791,0.303000003
14,77,16,1766,0.305000007
36,80,16,4629,0.086999997
92,71,16,11900,0.305000007
14,60,16,1749,0.035999998
1,25,16,24,0.0394
73,127,16,9486,0.032000002
63,9,16,8068,0.059099998
88,123,16,11432,0.09189999800000001
70,30,16,8999,0.282000005
54,23,16,6912,0.284000009
54,57,16,6946,0.0559
37,31,16,4710,0.109999999
8,105,16,1014,0.0482
4,71,16,460,0.307999998
69,125,16,8964,0.029899999
80,62,16,10331,0.328999996
22,71,16,2800,0.026699999
56,7,16,7156,0.029899999
55,123,16,7142,0.323000014
77,32,16,9911,0.289999992
61,117,16,7916,0.300000012
99,36,16,12775,0.025
85,85,16,11004,0.045699999000000005
82,51,16,10580,0.30399999
33,120,16,4279,0.066799998
31,15,16,3914,0.0276
51,39,16,6538,0.102700002
78,27,16,10036,0.0339
43,46,16,5505,0.0305
6,86,16,735,0.305999994
14,52,16,1741,0.280000001
49,10,16,6249,0.051199999
94,11,16,12100,0.064099997
70,100,16,9069,0.1285
41,62,16,5261,0.27700001
100,104,16,12973,0.0348
20,5,16,2474,0.034200002
25,51,16,3170,0.289999992
12,75,16,1504,0.312900007
71,83,16,9182,0.068000004
47,126,16,6105,0.050700000999999995
85,83,16,11002,0.0462
15,68,16,1887,0.051100001
86,3,16,11052,0.062899999
42,122,16,5451,0.08060000099999999
49,98,16,6337,0.293000013
35,125,16,4544,0.103500001
83,86,16,10745,0.034000002
68,41,16,8750,0.08500000099999999
3,77,16,336,0.1043
21,51,16,2650,0.300000012
92,46,16,11875,0.163399994
3,117,16,376,0.139599994
89,54,16,11493,0.0986
59,47,16,7586,0.115500003
75,22,16,9641,0.0277
95,20,16,12239,0.108199999
12,66,16,1495,0.082900003
67,27,16,8606,0.294
59,90,16,7629,0.282999992
50,129,16,6498,0.112999998
