X,Y,Z,Index,Val,Accuracy
32,11,4,4040,0.090700001,0.4885108937937154
5,95,4,614,0.294,0.525264809415727
34,49,4,4338,0.18559999800000002,0.6042017502123521
17,48,4,2127,0.07819999799999999,0.5932631495346805
34,111,4,4400,0.072300002,0.5060563686990279
83,86,4,10745,0.270999998,0.5576836886224739
71,85,4,9184,0.149299994,0.46019188048597715
90,93,4,11662,0.021400001000000002,0.6190783525363
26,36,4,3285,0.11519999800000001,0.5224762578165673
2,88,4,217,0.28499999600000003,0.5104573654332883
75,24,4,9643,0.101400003,0.5601264164662517
28,64,4,3573,0.063000001,0.4977153892271056
83,126,4,10785,0.106799997,0.5264672834330928
69,117,4,8956,0.286000013,0.6313541427594334
16,128,4,2077,0.095799997,0.49268222369208764
72,25,4,9254,0.040899999,0.4621013717179193
39,123,4,5062,0.1219,0.6289442898671853
54,111,4,7000,0.310000002,0.4800820390292726
11,88,4,1387,0.048999999,0.47603641267565866
54,68,4,6957,0.054200001,0.5776927188676481
74,125,4,9614,0.077399999,0.5257183551962211
89,51,4,11490,0.273000002,0.6258023131324365
23,125,4,2984,0.09759999800000001,0.6190434741404914
59,58,4,7597,0.079499997,0.5811421536554741
46,83,4,5932,0.282000005,0.45575929555949196
55,108,4,7127,0.0601,0.5955323459701669
84,117,4,10906,0.099399999,0.48570897806691243
11,112,4,1411,0.275999993,0.5356247371950108
74,17,4,9506,0.056600001,0.5862783842930088
78,100,4,10109,0.282000005,0.5980656960156545
65,108,4,8427,0.041700002,0.4770672705195854
42,94,4,5423,0.144899994,0.5832260490239761
99,91,4,12830,0.0228,0.564903328145168
81,13,4,10412,0.09629999800000001,0.6038203486975029
68,9,4,8718,0.0396,0.6125573863409273
5,47,4,566,0.287,0.6230983613950074
2,24,4,153,0.064400002,0.6202254193270719
67,87,4,8666,0.132400006,0.4523079819158432
28,101,4,3610,0.038199998,0.6330113154447946
75,54,4,9673,0.0232,0.5773632129929281
19,22,4,2361,0.036899998999999996,0.5213584664976264
64,45,4,8234,0.0748,0.6410655104152142
9,104,4,1143,0.305999994,0.46322614562592923
52,116,4,6745,0.08500000099999999,0.5525414127189149
77,7,4,9886,0.078500003,0.4928482722616491
70,85,4,9054,0.131300002,0.4703294143404645
99,110,4,12849,0.043499999000000004,0.5995293911487656
32,105,4,4134,0.182400003,0.5892065089211953
79,73,4,10212,0.167600006,0.527511247484779
80,22,4,10291,0.054099999,0.46478142272824086
12,114,4,1543,0.298999995,0.5313570381432209
65,77,4,8396,0.041900001,0.4554636253713009
16,96,4,2045,0.09350000300000001,0.6366135081139249
49,62,4,6301,0.0614,0.6446310157779157
26,59,4,3308,0.091799997,0.5676474264507406
69,21,4,8860,0.037300002,0.622049329313777
5,92,4,611,0.30099999899999996,0.4631189978480105
36,2,4,4551,0.256999999,0.6279582709443914
8,130,4,1039,0.178599998,0.55788686740865
77,12,4,9891,0.043000000999999996,0.4751125819356231
27,47,4,3426,0.223800004,0.5448993833039618
99,58,4,12797,0.0418,0.4840667744397585
10,57,4,1226,0.218799993,0.6494557697562927
38,15,4,4824,0.264999986,0.4731686670361717
69,118,4,8957,0.268000007,0.5392345587289715
67,129,4,8708,0.27000001100000004,0.6229858110246138
3,123,4,382,0.1171,0.5993171245293403
63,126,4,8185,0.289999992,0.623382081774303
94,100,4,12189,0.030300001,0.5692457010188763
70,84,4,9053,0.11159999699999999,0.5119590587996248
90,89,4,11658,0.049199997999999995,0.6329839182903736
2,10,4,139,0.23000000399999998,0.6176951794996575
78,92,4,10101,0.268000007,0.6211205186817665
74,91,4,9580,0.041700002,0.5977614415271768
57,130,4,7409,0.049400002,0.5586239291356433
27,87,4,3466,0.11060000199999999,0.5871174905178911
50,117,4,6486,0.130199999,0.5008297974112972
56,106,4,7255,0.0801,0.48678381578526897
13,95,4,1654,0.037999999,0.4545739465373033
33,103,4,4262,0.182099998,0.5024055886734833
87,33,4,11212,0.1074,0.638175317262986
97,124,4,12603,0.273000002,0.4509582195616152
