X,Y,Z,Val
1.0,1.0,16.0,0.087099999
1.0,2.0,16.0,0.03277397310210209
1.0,3.0,16.0,0.04824123982282281
1.0,4.0,16.0,0.1200535495975976
1.0,5.0,16.0,0.22537827060060062
1.0,6.0,16.0,0.15389999699999998
1.0,7.0,16.0,0.07438828594594593
1.0,8.0,16.0,0.043822020759759765
1.0,9.0,16.0,0.0640767747987988
1.0,10.0,16.0,0.1340477432972973
1.0,11.0,16.0,0.05079999900000002
1.0,12.0,16.0,0.018411511147147133
1.0,13.0,16.0,0.0187797794024024
1.0,14.0,16.0,0.013992292084084066
1.0,15.0,16.0,0.08433152883783783
1.0,16.0,16.0,0.019400001
1.0,17.0,16.0,0.07622962722222221
1.0,18.0,16.0,0.09390650347447446
1.0,19.0,16.0,0.06334023828828829
1.0,20.0,16.0,0.0861728701141141
1.0,21.0,16.0,0.05440000100000001
1.0,22.0,16.0,0.018411511147147154
1.0,23.0,16.0,0.05192392237537536
1.0,24.0,16.0,0.03314224135735734
1.0,25.0,16.0,0.02135765718918919
1.0,26.0,16.0,0.03070000000000001
1.0,27.0,16.0,0.055109569050150166
1.0,28.0,16.0,0.06591811607507507
1.0,29.0,16.0,0.04610226164804804
1.0,30.0,16.0,0.018043242891891905
1.0,31.0,16.0,0.06610000099999999
1.0,32.0,16.0,0.07770270024324324
1.0,33.0,16.0,0.061498897012012006
1.0,34.0,16.0,0.09648438126126127
1.0,35.0,16.0,0.04271721599399398
1.0,36.0,16.0,0.07519999899999999
1.0,37.0,16.0,0.09059208917717718
1.0,38.0,16.0,0.08543633360360361
1.0,39.0,16.0,0.06513092037177173
1.0,40.0,16.0,0.08469979709309308
1.0,41.0,16.0,0.07249999799999998
1.0,42.0,16.0,0.07438828594594593
1.0,43.0,16.0,0.11158337972672672
1.0,44.0,16.0,0.05487006841741742
1.0,45.0,16.0,0.044558557270270256
1.0,46.0,16.0,0.101599999
1.0,47.0,16.0,0.05192392237537536
1.0,48.0,16.0,0.008836536510510506
1.0,49.0,16.0,0.06186716526726727
1.0,50.0,16.0,0.060025823990991
1.0,51.0,16.0,0.05380000200000001
1.0,52.0,16.0,0.03277397310210209
1.0,53.0,16.0,0.04603163029129131
1.0,54.0,16.0,0.3027146042042042
1.0,55.0,16.0,0.30971170105405404
1.0,56.0,16.0,0.293199986
1.0,57.0,16.0,0.32296935824324324
1.0,58.0,16.0,0.3086068962882883
1.0,59.0,16.0,0.3075020915225225
1.0,60.0,16.0,0.2912982882912913
1.0,61.0,16.0,0.298999995
1.0,62.0,16.0,0.29498097084384384
1.0,63.0,16.0,0.3266520407957958
1.0,64.0,16.0,0.305292481990991
1.0,65.0,16.0,0.15761691163363364
1.0,66.0,16.0,0.09260000300000003
1.0,67.0,16.0,0.29755884863063065
1.0,68.0,16.0,0.31965494394594596
1.0,69.0,16.0,0.31855013918018016
1.0,70.0,16.0,0.35058947738738744
1.0,71.0,16.0,0.321999997
1.0,72.0,16.0,0.3388048932192192
1.0,73.0,16.0,0.1020084050900901
